1	10	1	4.8332396501289984e+17
1	10	2	5.881162124519526e+17
1	10	3	5.287649746679378e+17
1	10	4	4.8858743117342925e+17
1	10	5	5.137850942683525e+17
1	30	1	4.667761436725555e+17
1	30	2	5.633529133829366e+17
1	30	3	5.061423146468168e+17
1	30	4	4.859643036546601e+17
1	30	5	5.025393532856115e+17
1	50	1	4.342328341398156e+17
1	50	2	5.4247953116335514e+17
1	50	3	4.920630727320289e+17
1	50	4	4.7500598333233766e+17
1	50	5	4.785759331609887e+17
1	70	1	4.163953999961354e+17
1	70	2	5.072167905337938e+17
1	70	3	4.789558033070879e+17
1	70	4	4.661209358801408e+17
1	70	5	4.514322044834939e+17
1	90	1	3.764974194729045e+17
1	90	2	4.612448813779215e+17
1	90	3	4.3070627812099514e+17
1	90	4	4.192525201735519e+17
1	90	5	4.225794276065934e+17
1	110	1	4.050325395451474e+17
1	110	2	5.081276711794954e+17
1	110	3	4.7640043534791066e+17
1	110	4	4.4896451617980256e+17
1	110	5	4.479820171350303e+17
1	130	1	4.3396599356713536e+17
1	130	2	5.4678991050485965e+17
1	130	3	4.943566174500434e+17
1	130	4	4.740440039234253e+17
1	130	5	4.743025742764933e+17
1	150	1	4.72311106751914e+17
1	150	2	5.6654752737638195e+17
1	150	3	5.1242790777548186e+17
1	150	4	4.86666731405226e+17
1	150	5	4.998994231396393e+17
1	170	1	4.7518919520466944e+17
1	170	2	5.944235951477842e+17
1	170	3	5.216276152034017e+17
1	170	4	5.0430868265549414e+17
1	170	5	5.127498638657843e+17
10	10	1	7.079250240665866e+17
10	10	2	8.90075814996522e+17
10	10	3	8.534465332695501e+17
10	10	4	8.593541467212626e+17
10	10	5	9.206893912689347e+17
10	30	1	6.813784174796493e+17
10	30	2	8.638845174481787e+17
10	30	3	8.266207441767895e+17
10	30	4	8.425114179887729e+17
10	30	5	8.923050376004649e+17
10	50	1	6.258173595534459e+17
10	50	2	8.119684429863301e+17
10	50	3	7.573325726644531e+17
10	50	4	7.985160861816658e+17
10	50	5	8.1138372175919e+17
10	70	1	6.06857390429784e+17
10	70	2	7.333997350500209e+17
10	70	3	7.304024748573921e+17
10	70	4	7.506473152868393e+17
10	70	5	7.746102932827341e+17
10	90	1	5.767067100246405e+17
10	90	2	6.977808607610634e+17
10	90	3	6.837424410967859e+17
10	90	4	7.072794759881708e+17
10	90	5	7.273406186388951e+17
10	110	1	6.066760814286172e+17
10	110	2	7.381963955309711e+17
10	110	3	7.256684247917281e+17
10	110	4	7.452525624778568e+17
10	110	5	7.648899982268621e+17
10	130	1	6.29357578220755e+17
10	130	2	8.20085912205609e+17
10	130	3	7.579336810730373e+17
10	130	4	7.688442181913272e+17
10	130	5	8.055896777695724e+17
10	150	1	6.804506004277965e+17
10	150	2	8.717108016694374e+17
10	150	3	8.272693304646175e+17
10	150	4	8.403887996099277e+17
10	150	5	8.864672353413151e+17
10	170	1	7.06867769263702e+17
10	170	2	8.985564440161761e+17
10	170	3	8.55416482714712e+17
10	170	4	8.617576715709901e+17
10	170	5	9.222682725351148e+17
40	10	1	9.640128264802591e+17
40	10	2	1.291141489011152e+18
40	10	3	1.2809227856727286e+18
40	10	4	1.2756324344518461e+18
40	10	5	1.3910503892824996e+18
40	30	1	9.252018324001556e+17
40	30	2	1.251382316738135e+18
40	30	3	1.235020615431377e+18
40	30	4	1.2456043802023762e+18
40	30	5	1.3473213110746634e+18
40	50	1	8.623639229151304e+17
40	50	2	1.1686043704180634e+18
40	50	3	1.1512747948614369e+18
40	50	4	1.172928084253904e+18
40	50	5	1.251324250191193e+18
40	70	1	7.910960209880013e+17
40	70	2	1.07515892518724e+18
40	70	3	1.03497703314018e+18
40	70	4	1.0969271400302592e+18
40	70	5	1.1497402023397437e+18
40	90	1	7.742019288764436e+17
40	90	2	1.0311828826324111e+18
40	90	3	9.870971352056105e+17
